BattingOrder,PA,AB,H,1B,2B,3B,HR,WalksHBP,Outs
1,212,179,52,36,11,1,4,33,127
2,145,130,44,21,9,0,14,15,86
3,257,234,80,39,29,1,11,23,154
4,200,188,66,48,14,0,4,12,122
5,198,180,59,43,8,0,8,18,121
6,115,93,28,18,7,2,1,22,65
7,218,180,50,35,12,0,3,38,130
8,233,205,59,44,8,0,7,28,146
9,157,138,37,31,6,0,0,19,101
